id;wallet_holder;key;value;created_date
1;049952a2-9308-4fe6-8029-d723b485e510;relire vide introduire;../fake-data/blob/hipster.txt;2024-10-15T21:30:19
2;c8636de4-5fcc-426a-bcc5-e55a91281eac;exclure;../fake-data/blob/hipster.txt;2024-10-15T22:32:32
3;718ec0df-cdae-4b02-a99c-1d69ee153e8a;présidence;../fake-data/blob/hipster.txt;2024-10-16T01:19:22
4;d4e83d0f-de9e-495c-a276-9b8f3a7c0d67;trop peu;../fake-data/blob/hipster.txt;2024-10-15T18:39:24
5;49030370-81bf-4aff-85c4-1dd19b8454db;atchoum solitaire habiller;../fake-data/blob/hipster.txt;2024-10-15T23:53:24
6;304d44c3-85e4-43d3-843a-8b2ec7c9f48b;tôt;../fake-data/blob/hipster.txt;2024-10-15T21:17:01
7;818d6996-ae60-4e8b-a565-c700c1470a6d;plus également cocorico;../fake-data/blob/hipster.txt;2024-10-16T04:09:54
8;3006d1bc-b3a0-4433-9f17-dd59e21a415f;derechef rentrer;../fake-data/blob/hipster.txt;2024-10-16T01:13:35
9;fe089bfd-7892-4447-bce4-0835ce44ab1c;dominer vide charger;../fake-data/blob/hipster.txt;2024-10-15T20:58:29
10;446d932a-70e7-4fd1-8671-550f0f6ed1fe;ding membre à vie;../fake-data/blob/hipster.txt;2024-10-16T02:55:19
